epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1582.14,1.76707,2.00749,1.86907,0.05302,0.05093,0.01393,0.00467,3.04694,4.27201,2.31267,0.000848969,0.000848969,0.000848969
43,1618.35,1.75004,2.01015,1.8576,0.02818,0.03159,0.00903,0.00254,3.15839,4.5511,2.44071,0.000834822,0.000834822,0.000834822
44,1654.51,1.73722,2.00181,1.86819,0.09374,0.05871,0.01571,0.00426,3.24879,4.23029,2.4548,0.000820675,0.000820675,0.000820675
45,1690.28,1.72636,1.95839,1.83765,0.04658,0.07418,0.01102,0.00307,3.20676,4.22568,2.49567,0.000806528,0.000806528,0.000806528
46,1726.23,1.72907,1.96243,1.85668,0.05383,0.03125,0.01499,0.00398,3.19058,4.51772,2.50722,0.00079238,0.00079238,0.00079238
47,1761.53,1.6857,1.88449,1.81908,0.38192,0.04052,0.01698,0.00534,3.21605,4.29719,2.46741,0.000778233,0.000778233,0.000778233
48,1797.6,1.71975,1.95332,1.85462,0.07514,0.04315,0.01921,0.00547,3.19076,4.248,2.43373,0.000764086,0.000764086,0.000764086
49,1832.99,1.69128,1.93114,1.81092,0.04527,0.04796,0.01285,0.00421,3.21833,4.21769,2.46316,0.000749939,0.000749939,0.000749939
50,1868.66,1.6959,1.86808,1.83705,0.07451,0.05425,0.01911,0.00516,3.18192,4.41634,2.44193,0.000735792,0.000735792,0.000735792
51,1904.23,1.71647,1.91251,1.81999,0.10232,0.05573,0.01688,0.00518,3.21504,4.55026,2.40799,0.000721645,0.000721645,0.000721645
52,1939.48,1.66226,1.82226,1.77826,0.07452,0.08468,0.0256,0.0075,3.12235,4.24439,2.4029,0.000707498,0.000707498,0.000707498
53,1974.97,1.62465,1.76211,1.78049,0.04427,0.03903,0.01409,0.0045,3.15549,4.32044,2.4095,0.000693351,0.000693351,0.000693351
54,2010.85,1.61619,1.76369,1.76468,0.05144,0.05573,0.01691,0.00541,3.26065,4.53106,2.52277,0.000679204,0.000679204,0.000679204
55,2046.36,1.59658,1.73307,1.73637,0.06505,0.05837,0.01894,0.0052,3.2073,4.37441,2.43974,0.000665057,0.000665057,0.000665057
56,2083.49,1.64407,1.80651,1.75923,0.09376,0.05357,0.01782,0.00493,3.25,4.36588,2.47222,0.000650909,0.000650909,0.000650909
57,2119.99,1.62334,1.76243,1.77587,0.03449,0.04944,0.01439,0.00343,3.11178,4.50417,2.43215,0.000636762,0.000636762,0.000636762
58,2155.43,1.63406,1.72273,1.76368,0.07645,0.06317,0.02148,0.00506,3.25908,4.48589,2.48107,0.000622615,0.000622615,0.000622615
59,2191.15,1.59608,1.66715,1.73143,0.09497,0.08204,0.02367,0.00637,3.25435,4.29946,2.54577,0.000608468,0.000608468,0.000608468
60,2226.67,1.60901,1.67044,1.74836,0.03495,0.04829,0.01394,0.00362,3.21392,4.65239,2.56146,0.000594321,0.000594321,0.000594321
61,2263.53,1.58278,1.6638,1.7224,0.05215,0.06087,0.01376,0.00461,3.1855,4.44882,2.45245,0.000580174,0.000580174,0.000580174
62,2299.6,1.53733,1.58073,1.7056,0.05511,0.06946,0.01757,0.00578,3.20205,4.31384,2.4816,0.000566027,0.000566027,0.000566027
63,2335.2,1.55575,1.58025,1.71778,0.05949,0.06385,0.01619,0.00459,3.28614,4.49182,2.58785,0.00055188,0.00055188,0.00055188
64,2370.78,1.55572,1.59998,1.68144,0.0581,0.04944,0.01932,0.005,3.22571,4.45373,2.49347,0.000537733,0.000537733,0.000537733
65,2406.44,1.53182,1.62039,1.68286,0.06214,0.06534,0.01725,0.00486,3.04738,4.43306,2.30821,0.000523586,0.000523586,0.000523586
66,2442.05,1.54222,1.55038,1.68458,0.09545,0.0468,0.0162,0.00441,3.11518,4.52295,2.37392,0.000509438,0.000509438,0.000509438
67,2477.57,1.51441,1.52322,1.68507,0.04248,0.03754,0.01107,0.00304,3.22944,4.75237,2.54508,0.000495291,0.000495291,0.000495291
68,2513.92,1.4821,1.51014,1.64299,0.08136,0.03903,0.01392,0.00429,3.32544,4.85898,2.59735,0.000481144,0.000481144,0.000481144
69,2549.35,1.47896,1.48919,1.65564,0.08797,0.06682,0.01839,0.00491,3.14458,4.61106,2.40254,0.000466997,0.000466997,0.000466997
70,2586.43,1.46001,1.429,1.63318,0.04595,0.04978,0.01228,0.00384,3.21732,4.72951,2.47608,0.00045285,0.00045285,0.00045285
71,2623.31,1.4654,1.45067,1.62064,0.10047,0.04349,0.02513,0.00728,3.17341,4.55401,2.44946,0.000438703,0.000438703,0.000438703
72,2660.11,1.45313,1.43076,1.62217,0.05689,0.05967,0.01455,0.00436,3.12599,4.59614,2.41336,0.000424556,0.000424556,0.000424556
73,2696.71,1.48319,1.46955,1.63103,0.0911,0.03605,0.01592,0.00477,3.17155,4.59113,2.44574,0.000410409,0.000410409,0.000410409
74,2733.16,1.45588,1.42312,1.62959,0.08931,0.03308,0.01523,0.00461,3.13948,4.63324,2.42632,0.000396262,0.000396262,0.000396262
75,2769.39,1.42665,1.38212,1.60018,0.107,0.03159,0.0157,0.0046,3.20969,4.97528,2.47909,0.000382115,0.000382115,0.000382115
76,2805.6,1.42948,1.38273,1.59891,0.08141,0.06284,0.01963,0.00599,3.19422,4.67953,2.43987,0.000367967,0.000367967,0.000367967
77,2841.97,1.40526,1.34745,1.58077,0.0674,0.05905,0.01732,0.00494,3.28212,4.74503,2.48807,0.00035382,0.00035382,0.00035382
78,2878.72,1.40622,1.32088,1.57536,0.05091,0.04863,0.01251,0.00391,3.27086,4.98488,2.49537,0.000339673,0.000339673,0.000339673
79,2914.88,1.39346,1.33662,1.58232,0.06351,0.05842,0.01426,0.00414,3.22491,4.98109,2.41907,0.000325526,0.000325526,0.000325526
80,2950.99,1.38853,1.32174,1.57019,0.0829,0.05194,0.01607,0.00475,3.218,5.06673,2.45233,0.000311379,0.000311379,0.000311379
81,2988.02,1.34818,1.28784,1.54518,0.10683,0.02861,0.0179,0.00565,3.16731,4.92003,2.4378,0.000297232,0.000297232,0.000297232
82,3024.08,1.34613,1.27273,1.53055,0.07463,0.04072,0.01438,0.00414,3.24376,4.88688,2.49256,0.000283085,0.000283085,0.000283085
83,3059.83,1.36263,1.25482,1.55164,0.06184,0.03308,0.01862,0.00539,3.23194,4.8173,2.49593,0.000268938,0.000268938,0.000268938
84,3095.44,1.34504,1.20027,1.52896,0.07357,0.05045,0.02211,0.00644,3.25906,4.76583,2.53177,0.000254791,0.000254791,0.000254791
85,3131.04,1.36402,1.24996,1.55102,0.07898,0.04085,0.01539,0.00523,3.2301,4.75637,2.49825,0.000240644,0.000240644,0.000240644
86,3166.57,1.3266,1.23168,1.52669,0.06545,0.04234,0.01511,0.00479,3.24545,4.89017,2.50935,0.000226497,0.000226497,0.000226497
87,3202.07,1.33644,1.24358,1.52248,0.0602,0.04383,0.01594,0.00509,3.247,4.94728,2.52154,0.000212349,0.000212349,0.000212349
88,3237.84,1.30302,1.23663,1.50373,0.0611,0.04863,0.01607,0.00469,3.23483,4.92585,2.48089,0.000198202,0.000198202,0.000198202
89,3274.14,1.29087,1.15888,1.47791,0.08025,0.04863,0.01621,0.00421,3.29902,4.83143,2.55406,0.000184055,0.000184055,0.000184055
90,3309.98,1.28017,1.17167,1.47398,0.0512,0.0698,0.01708,0.00556,3.25246,4.80069,2.53556,0.000169908,0.000169908,0.000169908
91,3364.22,1.2394,1.00294,1.48146,0.04856,0.04863,0.01587,0.00437,3.26913,4.78195,2.57159,0.000155761,0.000155761,0.000155761
92,3399.35,1.18474,0.95452,1.44505,0.06221,0.03903,0.01608,0.00491,3.28755,4.88436,2.56112,0.000141614,0.000141614,0.000141614
93,3434.89,1.19013,0.91795,1.43776,0.06634,0.04532,0.01741,0.00508,3.23689,4.95734,2.53527,0.000127467,0.000127467,0.000127467
94,3470.93,1.13942,0.89248,1.40137,0.08261,0.04085,0.01853,0.00542,3.20404,4.86652,2.49815,0.00011332,0.00011332,0.00011332
95,3506.14,1.13949,0.88651,1.4246,0.07306,0.04532,0.02137,0.00577,3.25283,5.00017,2.49038,9.91726e-05,9.91726e-05,9.91726e-05
96,3541.43,1.14429,0.86043,1.41122,0.11278,0.03605,0.0174,0.00514,3.29332,4.99095,2.51562,8.50255e-05,8.50255e-05,8.50255e-05
97,3577.5,1.13007,0.86947,1.40519,0.08075,0.0301,0.01658,0.00495,3.31283,5.00807,2.54513,7.08784e-05,7.08784e-05,7.08784e-05
98,3612.94,1.09636,0.84287,1.37919,0.06831,0.03605,0.01687,0.00468,3.30084,5.02451,2.53389,5.67313e-05,5.67313e-05,5.67313e-05
99,3648.45,1.12906,0.86705,1.3939,0.11003,0.03159,0.01684,0.0051,3.30545,4.98704,2.5273,4.25842e-05,4.25842e-05,4.25842e-05
100,3684.26,1.074,0.81369,1.35847,0.09556,0.02861,0.01615,0.00476,3.26902,4.99301,2.48735,2.84371e-05,2.84371e-05,2.84371e-05
